,datetime,season,hours,price
0,2025-01-01 00:00:00,WinterHDP,00:00,0.072
1,2025-01-01 01:00:00,WinterHDP,01:00,0.044
2,2025-01-01 02:00:00,WinterHDP,02:00,0.02
3,2025-01-01 03:00:00,WinterHDP,03:00,0.011
4,2025-01-01 04:00:00,WinterHDP,04:00,0.033
5,2025-01-01 05:00:00,WinterHDP,05:00,0.11
6,2025-01-01 06:00:00,WinterHDP,06:00,0.267
7,2025-01-01 07:00:00,WinterHDP,07:00,0.308
8,2025-01-01 08:00:00,WinterHDP,08:00,0.216
9,2025-01-01 09:00:00,WinterHDP,09:00,0.158
10,2025-01-01 10:00:00,WinterHDP,10:00,0.126
11,2025-01-01 11:00:00,WinterHDP,11:00,0.105
12,2025-01-01 12:00:00,WinterHDP,12:00,0.132
13,2025-01-01 13:00:00,WinterHDP,13:00,0.183
14,2025-01-01 14:00:00,WinterHDP,14:00,0.249
15,2025-01-01 15:00:00,WinterHDP,15:00,0.312
16,2025-01-01 16:00:00,WinterHDP,16:00,0.396
17,2025-01-01 17:00:00,WinterHDP,17:00,0.525
18,2025-01-01 18:00:00,WinterHDP,18:00,0.497
19,2025-01-01 19:00:00,WinterHDP,19:00,0.452
20,2025-01-01 20:00:00,WinterHDP,20:00,0.392
21,2025-01-01 21:00:00,WinterHDP,21:00,0.311
22,2025-01-01 22:00:00,WinterHDP,22:00,0.2
23,2025-01-01 23:00:00,WinterHDP,23:00,0.111
24,2025-01-02 00:00:00,WinterHDP,00:00,0.072
25,2025-01-02 01:00:00,WinterHDP,01:00,0.044
26,2025-01-02 02:00:00,WinterHDP,02:00,0.02
27,2025-01-02 03:00:00,WinterHDP,03:00,0.011
28,2025-01-02 04:00:00,WinterHDP,04:00,0.033
29,2025-01-02 05:00:00,WinterHDP,05:00,0.11
30,2025-01-02 06:00:00,WinterHDP,06:00,0.267
31,2025-01-02 07:00:00,WinterHDP,07:00,0.308
32,2025-01-02 08:00:00,WinterHDP,08:00,0.216
33,2025-01-02 09:00:00,WinterHDP,09:00,0.158
34,2025-01-02 10:00:00,WinterHDP,10:00,0.126
35,2025-01-02 11:00:00,WinterHDP,11:00,0.105
36,2025-01-02 12:00:00,WinterHDP,12:00,0.132
37,2025-01-02 13:00:00,WinterHDP,13:00,0.183
38,2025-01-02 14:00:00,WinterHDP,14:00,0.249
39,2025-01-02 15:00:00,WinterHDP,15:00,0.312
40,2025-01-02 16:00:00,WinterHDP,16:00,0.396
41,2025-01-02 17:00:00,WinterHDP,17:00,0.525
42,2025-01-02 18:00:00,WinterHDP,18:00,0.497
43,2025-01-02 19:00:00,WinterHDP,19:00,0.452
44,2025-01-02 20:00:00,WinterHDP,20:00,0.392
45,2025-01-02 21:00:00,WinterHDP,21:00,0.311
46,2025-01-02 22:00:00,WinterHDP,22:00,0.2
47,2025-01-02 23:00:00,WinterHDP,23:00,0.111
48,2025-01-03 00:00:00,WinterHDP,00:00,0.072
49,2025-01-03 01:00:00,WinterHDP,01:00,0.044
50,2025-01-03 02:00:00,WinterHDP,02:00,0.02
51,2025-01-03 03:00:00,WinterHDP,03:00,0.011
52,2025-01-03 04:00:00,WinterHDP,04:00,0.033
53,2025-01-03 05:00:00,WinterHDP,05:00,0.11
54,2025-01-03 06:00:00,WinterHDP,06:00,0.267
55,2025-01-03 07:00:00,WinterHDP,07:00,0.308
56,2025-01-03 08:00:00,WinterHDP,08:00,0.216
57,2025-01-03 09:00:00,WinterHDP,09:00,0.158
58,2025-01-03 10:00:00,WinterHDP,10:00,0.126
59,2025-01-03 11:00:00,WinterHDP,11:00,0.105
60,2025-01-03 12:00:00,WinterHDP,12:00,0.132
61,2025-01-03 13:00:00,WinterHDP,13:00,0.183
62,2025-01-03 14:00:00,WinterHDP,14:00,0.249
63,2025-01-03 15:00:00,WinterHDP,15:00,0.312
64,2025-01-03 16:00:00,WinterHDP,16:00,0.396
65,2025-01-03 17:00:00,WinterHDP,17:00,0.525
66,2025-01-03 18:00:00,WinterHDP,18:00,0.497
67,2025-01-03 19:00:00,WinterHDP,19:00,0.452
68,2025-01-03 20:00:00,WinterHDP,20:00,0.392
69,2025-01-03 21:00:00,WinterHDP,21:00,0.311
70,2025-01-03 22:00:00,WinterHDP,22:00,0.2
71,2025-01-03 23:00:00,WinterHDP,23:00,0.111
72,2025-01-04 00:00:00,WinterHDP,00:00,0.072
73,2025-01-04 01:00:00,WinterHDP,01:00,0.044
74,2025-01-04 02:00:00,WinterHDP,02:00,0.02
75,2025-01-04 03:00:00,WinterHDP,03:00,0.011
76,2025-01-04 04:00:00,WinterHDP,04:00,0.033
77,2025-01-04 05:00:00,WinterHDP,05:00,0.11
78,2025-01-04 06:00:00,WinterHDP,06:00,0.267
79,2025-01-04 07:00:00,WinterHDP,07:00,0.308
80,2025-01-04 08:00:00,WinterHDP,08:00,0.216
81,2025-01-04 09:00:00,WinterHDP,09:00,0.158
82,2025-01-04 10:00:00,WinterHDP,10:00,0.126
83,2025-01-04 11:00:00,WinterHDP,11:00,0.105
84,2025-01-04 12:00:00,WinterHDP,12:00,0.132
85,2025-01-04 13:00:00,WinterHDP,13:00,0.183
86,2025-01-04 14:00:00,WinterHDP,14:00,0.249
87,2025-01-04 15:00:00,WinterHDP,15:00,0.312
88,2025-01-04 16:00:00,WinterHDP,16:00,0.396
89,2025-01-04 17:00:00,WinterHDP,17:00,0.525
90,2025-01-04 18:00:00,WinterHDP,18:00,0.497
91,2025-01-04 19:00:00,WinterHDP,19:00,0.452
92,2025-01-04 20:00:00,WinterHDP,20:00,0.392
93,2025-01-04 21:00:00,WinterHDP,21:00,0.311
